id		nm		lat		lon		countryCode
693942		Shostka		51.862961		33.469799		UA
689378		Volodymyr-Volynskyy		50.852531		24.323641		UA
701855		Marhanets		47.635429		34.627689		UA
689558		Vinnytsya		49.232780		28.480970		UA
704403		Krasnodon		48.292290		39.737289		UA
700322		Nemyriv		48.970760		28.837790		UA
704492		Krasyliv		49.651859		26.972521		UA
700507		Nadvirna		48.634800		24.569361		UA
710374		Chuhuyiv		49.835880		36.688030		UA
709932		Dniprodzerzhynsk		48.511341		34.602100		UA
711134		Burshtyn		49.258659		24.627760		UA
690688		Uman		48.748379		30.221840		UA
711515		Boyarka		50.319099		30.297279		UA
710381		Chudniv		50.052040		28.117451		UA
710409		Chop		48.431980		22.205549		UA
693301		Sokal		50.474380		24.282881		UA
698247		Oster		50.950600		30.882290		UA
690288		Velyka Oleksandrivka		47.319691		33.303730		UA
707928		Gubinikha		48.810829		35.254719		UA
696643		Poltava		49.593731		34.540730		UA
695594		Rivne		50.623081		26.227430		UA
700568		Mykolayiv		49.523720		23.985220		UA
686896		Zolochiv		49.805969		24.894360		UA
704422		Krasnoarmiysk		48.281979		37.175850		UA
710129		Derazhnya		49.269199		27.433821		UA
696660		Polonne		50.124241		27.510870		UA
694792		Sarny		51.337952		26.601910		UA
699986		Nyzhni Sirohozy		46.848419		34.380440		UA
704079		Krynychky		48.375511		34.467010		UA
690281		Velyka Bilozerka		47.277561		34.706161		UA
688689		Vysokopillya		47.491871		33.530609		UA
693379		Snihurivka		47.075790		32.805161		UA
691355		Toshkovka		48.779140		38.579029		UA
690509		Valky		49.838680		35.620720		UA
693231		Solone		48.208050		34.872082		UA
694992		Rzhyshchiv		49.968861		31.046280		UA
710342		Chutove		49.710419		35.160259		UA
696943		Pidhorodne		48.575279		35.106800		UA
689198		Volnovakha		47.601028		37.496738		UA
694864		Sambir		49.518299		23.197519		UA
702878		Lokachi		50.737000		24.649441		UA
697692		Peremyshlyany		49.665230		24.558460		UA
698770		Ochakiv		46.612831		31.549820		UA
704138		Kreminna		49.049500		38.217918		UA
695326		Rozhyshche		50.915421		25.269060		UA
692301		Sudovaya Vishnya		49.788921		23.372181		UA
713126		Auly		48.527081		34.494930		UA
690335		Vasyshcheve		49.828522		36.326908		UA
702337		Makariv		50.464081		29.811279		UA
696280		Primorskoye		47.174358		37.692661		UA
702320		Makiyivka		48.047821		37.925758		UA
698232		Ostroh		50.329418		26.514250		UA
702844		Lopatin		50.220219		24.848310		UA
711359		Bryukhovychi		49.904671		23.959700		UA
713122		Avdeyevka		48.139889		37.742550		UA
699329		Novopokrovka		48.059181		34.606190		UA
712926		Balakliya		49.462700		36.859509		UA
690960		Turka		49.154110		23.029671		UA
709983		Dmytrivka		48.796902		32.716450		UA
705104		Kostyantynivka		48.527699		37.706902		UA
711382		Brusyliv		50.284489		29.526260		UA
687093		Zhovkva		50.058250		23.972601		UA
692372		Stryi		49.262230		23.856091		UA
699034		Novovorontsovka		47.500351		33.917480		UA
691374		Torez		48.038761		38.596851		UA
696032		Pustomyty		49.715321		23.912951		UA
687933		Zachepylivka		49.193851		35.239429		UA
710663		Chernyakhiv		50.456520		28.670179		UA
692632		Stebnik		49.294159		23.563570		UA
704617		Kovel		51.215260		24.708670		UA
687277		Zhurivka		50.502762		31.784920		UA
687116		Zhmerynka		49.037048		28.112009		UA
704204		Krasnyy Liman		48.988361		37.802250		UA
697593		Pervomaysk		48.044331		30.850731		UA
710229		Debaltsevo		48.340721		38.404900		UA
712775		Bashtanka		47.407188		32.438679		UA
701372		Mena		51.521702		32.215679		UA
709373		Dymer		50.786469		30.302601		UA
696292		Prymorsk		46.734791		36.344250		UA
704000		Krolevets		51.547749		33.384750		UA
693920		Shpola		49.006870		31.394711		UA
690773		Ukrainka		50.143169		30.746120		UA
705115		Kostyantynivka		46.816730		35.422871		UA
713245		Apostolove		47.660030		33.713692		UA
701031		Myronivka		49.660069		30.982250		UA
711669		Boryslav		49.286720		23.432381		UA
712471		Belz		50.382259		24.006420		UA
700753		Morshin		49.156521		23.872320		UA
704885		Korostyshiv		50.317230		29.056299		UA
712441		Berdychiv		49.899281		28.602350		UA
704901		Korosten		50.959370		28.638550		UA
709054		Hadyach		50.371120		33.990990		UA
690247		Velyka Lepetykha		47.175720		33.943619		UA
713259		Antratsit		48.115028		39.091282		UA
702246		Mala Bilozerka		47.247372		34.934570		UA
688288		Yavoriv		49.938641		23.382540		UA
688663		Vyshchetarasivka		47.568501		34.880959		UA
710552		Chervonohryhorivka		47.622978		34.538872		UA
713203		Armyansk		46.109192		33.692059		UA
696108		Pryluky		50.593239		32.387611		UA
709611		Drogobych		49.349911		23.505610		UA
695464		Romny		50.751041		33.474709		UA
709540		Dubno		50.416939		25.734320		UA
692129		Svalyava		48.548531		22.995781		UA
691037		Tsyurupynsk		46.618420		32.718899		UA
695912		Radomyshl		50.496132		29.229111		UA
712787		Baryshivka		50.360981		31.321730		UA
693457		Smila		49.222420		31.887140		UA
703071		Lyman		49.594799		36.467110		UA
705730		Kivertsy		50.834251		25.458210		UA
708320		Horodnya		51.890850		31.597410		UA
698625		Oleksandriya		48.669609		33.115929		UA
699035		Novovolynsk		50.725761		24.162649		UA
693796		Synelnykove		48.320438		35.517921		UA
707679		Ilovaysk		47.924980		38.202358		UA
708901		Haysyn		48.811432		29.389771		UA
702723		Lubny		50.016251		32.996941		UA
712886		Balta		47.935478		29.619820		UA
698627		Oleksandrivka		48.963360		32.234921		UA
707758		Hlukhiv		51.678219		33.916199		UA
709399		Dvorichna		49.849628		37.685680		UA
705883		Kiliya		45.455181		29.263670		UA
711416		Brody		50.087910		25.150270		UA
713174		Artemivsk		48.595589		37.999870		UA
711369		Bryanka		48.511002		38.672218		UA
704881		Korotych		49.945518		36.040569		UA
710041		Dykanka		49.825008		34.527870		UA
700446		Narodychi		51.202862		29.082279		UA
690873		Tysmenytsya		48.902191		24.844820		UA
704525		Kozova		49.435440		25.150860		UA
865087		Teplodar		46.505852		30.325199		UA
697650		Perevalsk		48.437790		38.843842		UA
710202		Dilyatyn		48.523540		24.624660		UA
695344		Rozdilna		46.843342		30.079189		UA
704202		Krasnyy Luch		48.139542		38.937149		UA
711894		Bohodukhiv		50.164661		35.527649		UA
695670		Reni		45.457272		28.293171		UA
711867		Bohuslav		49.549389		30.874399		UA
691803		Tatarbunary		45.837311		29.614241		UA
713749		Okhtyrka		50.310360		34.898788		UA
703311		Lebedyn		48.962421		31.526960		UA
705914		Khyriv		49.533321		22.852360		UA
699675		Novoazovsk		47.113892		38.085991		UA
710400		Chortkiv		49.017090		25.798040		UA
710716		Chornobay		49.670792		32.323872		UA
691179		Truskavets		49.278370		23.506180		UA
692832		Starobilsk		49.278320		38.910690		UA
704143		Kremenets		50.096931		25.724590		UA
686967		Zhytomyr		50.264870		28.676689		UA
688956		Vorzel		50.544399		30.153049		UA
707489		Ivankiv		50.938641		29.894260		UA
688373		Yasinovataya		48.129799		37.859402		UA
706757		Soledar		48.679352		38.089020		UA
695274		Rubizhne		49.012291		38.379669		UA
707251		Kaharlyk		49.862331		30.828150		UA
709354		Dzerzhynsk		48.398689		37.847870		UA
708380		Horodenka		48.672741		25.501631		UA
695859		Rakhiv		48.052601		24.200890		UA
698450		Orativ		49.188889		29.526970		UA
697637		Pereyaslav-Khmelnytskyy		50.087681		31.479500		UA
711841		Bolhrad		45.682621		28.614870		UA
687965		Zabolotiv		48.470539		25.285709		UA
693615		Skvyra		49.731770		29.665689		UA
710548		Chervonopartizansk		48.076130		39.796181		UA
704858		Korsun-Shevchenkivskyy		49.418941		31.258650		UA
707244		Kakhovka		46.813709		33.486980		UA
708753		Hlobyne		49.387840		33.259590		UA
699761		Nove-Misto		48.981129		29.828131		UA
712521		Bilovodsk		49.208462		39.589748		UA
701075		Myrhorod		49.968540		33.608860		UA
708784		Glevakha		50.274231		30.327061		UA
704839		Koryukivka		51.768768		32.248131		UA
687245		Zhashkiv		49.245449		30.110201		UA
704388		Krasnohrad		49.381401		35.440208		UA
711887		Bohorodchany		48.806999		24.538340		UA
706900		Kaniv		49.751820		31.460039		UA
687455		Zbarazh		49.663570		25.776159		UA
710565		Radyvyliv		50.129940		25.255760		UA
613273		Lebedyn		50.585178		34.484901		UA
703646		Kurakhovo		47.985222		37.282101		UA
694812		Sarata		46.019661		29.665670		UA
690545		Uzyn		49.826191		30.414869		UA
686818		Zuhres		48.011398		38.264439		UA
690312		Vatutine		49.015018		31.062111		UA
695379		Rovenki		48.083321		39.377640		UA
688148		Yenakiyeve		48.233311		38.211369		UA
692105		Sverdlovsk		48.089642		39.652431		UA
707744		Ichnya		50.862579		32.394249		UA
687449		Zboriv		49.664841		25.140961		UA
692118		Svatove		49.410290		38.150349		UA
704679		Kotovsk		47.753052		29.532049		UA
699453		Novomyrhorod		48.781052		31.642040		UA
689157		Volodarka		49.524841		29.912220		UA
688860		Voznesensk		47.564941		31.330780		UA
699311		Novopskov		49.546398		39.089870		UA
696008		Putyvl		51.337448		33.870659		UA
701305		Mezhova		48.253181		36.734680		UA
705265		Komarno		49.627392		23.699520		UA
699777		Nova Vodolaha		49.718498		35.870781		UA
705016		Kopychyntsi		49.104408		25.910259		UA
686919		Znomenka		48.712780		32.664719		UA
688440		Yarmolyntsi		49.192360		26.837250		UA
702231		Mala Danylivka		50.063541		36.165642		UA
707232		Kalanchak		46.256229		33.290699		UA
712508		Bilozerka		46.624802		32.442509		UA
705403		Kolomak		49.839859		35.304420		UA
711587		Borshchiv		48.803322		26.043470		UA
693809		Simeiz		44.406460		34.007038		UA
713683		Oleksandrivka		46.328930		30.634809		UA
690648		Usatove		46.532959		30.659599		UA
709429		Dunaivtsi		48.889091		26.856359		UA
703428		Ladyzhyn		48.684959		29.236780		UA
697613		Manhush		47.055820		37.310680		UA
691693		Terebovlya		49.301868		25.709970		UA
697750		Perechyn		48.733330		22.466669		UA
712260		Beryslav		46.841518		33.428379		UA
692146		Sutysky		49.042450		28.417320		UA
694745		Savran		48.132191		30.082470		UA
695643		Reshetylivka		49.565010		34.078152		UA
690822		Uglegorsk		48.314739		38.274231		UA
693381		Snizhne		48.026119		38.772251		UA
705544		Kobelyaky		49.148918		34.196529		UA
712794		Barvinkove		48.909698		37.020512		UA
701119		Mikulintsy		49.396000		25.605181		UA
689717		Veselynove		47.356659		31.234880		UA
700700		Mospyne		47.890808		38.063950		UA
693365		Snyatyn		48.446918		25.569370		UA
704573		Kozelets		50.913342		31.121401		UA
710935		Chaplynka		46.365070		33.540272		UA
713504		Amvrosiyivka		47.793480		38.477680		UA
690629		Uspenka		48.390282		39.161942		UA
710408		Chopovychi		50.833248		28.953341		UA
694603		Semenivka		49.590309		33.180489		UA
710473		Chyhyryn		49.083759		32.655491		UA
699917		Nosivka		50.931519		31.582821		UA
709547		Dublyany		49.498322		23.387180		UA
687292		Zinkiv		50.208061		34.363762		UA
691435		Tomakivka		47.815689		34.741371		UA
709755		Dolyna		48.973301		24.009439		UA
706289		Khorol		49.783669		33.278332		UA
687196		Zhovti Vody		48.347309		33.500340		UA
